Position	Mean	SD	End	BG	DataType
1	0.774727035954647	0.0123792051939743	5	Data	mRNA
2	0.769349024219508	0.0118805168330796	5	Data	mRNA
3	0.769349024219508	0.0118902950362344	5	Data	mRNA
4	0.774238125796907	0.0117925130046864	5	Data	mRNA
5	0.776976022680251	0.0113818284721849	5	Data	mRNA
6	0.781473996131458	0.0109222529239094	5	Data	mRNA
7	0.789296558655296	0.010892918314445	5	Data	mRNA
8	0.79105663522316	0.0107560234702778	5	Data	mRNA
9	0.794087878201147	0.00992487620211999	5	Data	mRNA
10	0.795456826642819	0.0098857633895008	5	Data	mRNA
11	0.798096941494615	0.0100324364368228	5	Data	mRNA
12	0.798390287589258	0.00991509799896519	5	Data	mRNA
13	0.798096941494615	0.00981731596741721	5	Data	mRNA
14	0.802301568851178	0.00985642878003641	5	Data	mRNA
15	0.80073705634641	0.00954254845876739	5	Data	mRNA
16	0.805039465734521	0.00960415113864262	5	Data	mRNA
17	0.806310632144645	0.00955917140413054	5	Data	mRNA
18	0.815599925141703	0.0104920119850983	5	Data	mRNA
19	0.82009789859291	0.0104528991724791	5	Data	mRNA
20	0.825378128296501	0.0105017901882531	5	Data	mRNA
21	0.824302525949473	0.0104626773756339	5	Data	mRNA
22	0.830853922063188	0.0103844517503955	5	Data	mRNA
23	0.837698664271546	0.0104040081567051	5	Data	mRNA
24	0.841218817407274	0.0105995722198011	5	Data	mRNA
25	0.843467804132877	0.0104235645630147	5	Data	mRNA
26	0.840534343186438	0.0104137863598599	5	Data	mRNA
27	0.843370022101329	0.0104920119850983	5	Data	mRNA
28	0.853148225256127	0.0108049144860518	5	Data	mRNA
29	0.850019200246592	0.0111569297996245	5	Data	mRNA
30	0.857548416675787	0.0112253772217081	5	Data	mRNA
31	0.860873005748418	0.0112547118311725	5	Data	mRNA
32	0.859112929180554	0.0112351554248629	5	Data	mRNA
33	0.862144172158542	0.0112449336280177	5	Data	mRNA
34	0.859699621369842	0.0104235645630147	5	Data	mRNA
35	0.856668378391855	0.0103648953440859	5	Data	mRNA
36	0.859406275275198	0.0103648953440859	5	Data	mRNA
37	0.857939544801978	0.0103257825314667	5	Data	mRNA
38	0.85979740340139	0.0103453389377763	5	Data	mRNA
39	0.862633082316281	0.0102964479220023	5	Data	mRNA
40	0.867131055767489	0.0104040081567051	5	Data	mRNA
41	0.868108876082968	0.0103648953440859	5	Data	mRNA
42	0.867326619830585	0.0103453389377763	5	Data	mRNA
43	0.864393158884145	0.0103942299535503	5	Data	mRNA
44	0.859992967464486	0.0102377787030735	5	Data	mRNA
45	0.854223827603155	0.009875985186346	5	Data	mRNA
46	0.856570596360307	0.00997376721789398	5	Data	mRNA
47	0.856570596360307	0.00992487620211999	5	Data	mRNA
48	0.85930849324365	0.0101791094841447	5	Data	mRNA
49	0.861557479969254	0.0102280004999187	5	Data	mRNA
50	0.863513120600213	0.0102182222967639	5	Data	mRNA
51	0.868793350303804	0.0102084440936091	5	Data	mRNA
52	0.873780233912751	0.0102964479220023	5	Data	mRNA
53	0.872117939376436	0.0103062261251571	5	Data	mRNA
54	0.872802413597271	0.0104235645630147	5	Data	mRNA
55	0.875931438606807	0.0104626773756339	5	Data	mRNA
56	0.872117939376436	0.0103648953440859	5	Data	mRNA
57	0.872117939376436	0.0103257825314667	5	Data	mRNA
58	0.872411285471079	0.0102182222967639	5	Data	mRNA
59	0.86996673468238	0.0100324364368228	5	Data	mRNA
60	0.87094455499786	0.0100128800305132	5	Data	mRNA
61	0.87192237531334	0.0099053197958104	5	Data	mRNA
62	0.869184478429996	0.00983687237372681	5	Data	mRNA
63	0.871531247187148	0.00996398901473918	5	Data	mRNA
64	0.874953618291327	0.0100422146399776	5	Data	mRNA
65	0.871335683124052	0.00974691290470267	5	Data	mRNA
66	0.871824593281792	0.00975864674848843	5	Data	mRNA
67	0.867424401862132	0.00969508842798224	5	Data	mRNA
68	0.866153235452009	0.00975473546722651	5	Data	mRNA
69	0.864686504978789	0.00982709417057201	5	Data	mRNA
70	0.864686504978789	0.00982709417057201	5	Data	mRNA
71	0.864979851073433	0.00994443260842959	5	Data	mRNA
72	0.863415338568665	0.00999332362420358	5	Data	mRNA
73	0.864588722947241	0.0098857633895008	5	Data	mRNA
74	0.86175304403235	0.00974691290470267	5	Data	mRNA
75	0.863121992474021	0.00966282035757141	5	Data	mRNA
76	0.865859889357365	0.00970780009208348	5	Data	mRNA
77	0.86752218389368	0.00966282035757141	5	Data	mRNA
78	0.866251017483557	0.00960904024022002	5	Data	mRNA
79	0.863708684663309	0.0095083247477256	5	Data	mRNA
80	0.865859889357365	0.00960610677927358	5	Data	mRNA
81	0.867424401862132	0.00965988689662497	5	Data	mRNA
82	0.865468761231173	0.00965499779504757	5	Data	mRNA
83	0.864393158884145	0.00964033049031537	5	Data	mRNA
84	0.863610902631761	0.00963055228716057	5	Data	mRNA
85	0.857743980738882	0.00954841538066027	5	Data	mRNA
86	0.861166351843062	0.00958166127138658	5	Data	mRNA
87	0.860188531527582	0.00949659090393984	5	Data	mRNA
88	0.858721801054362	0.00953472589624355	5	Data	mRNA
89	0.860384095590678	0.00957481652917822	5	Data	mRNA
90	0.862144172158542	0.00997376721789398	5	Data	mRNA
91	0.864882069041885	0.0100911056557516	5	Data	mRNA
92	0.860384095590678	0.00985642878003641	5	Data	mRNA
93	0.859504057306746	0.00981731596741721	5	Data	mRNA
94	0.859015147149006	0.00977038059227418	5	Data	mRNA
95	0.85833067292817	0.0096677094591488	5	Data	mRNA
96	0.856081686202567	0.00961686280274385	5	Data	mRNA
97	0.856277250265663	0.00956308268539247	5	Data	mRNA
98	0.857743980738882	0.0097019331701906	5	Data	mRNA
99	0.860481877622226	0.0096970440686132	5	Data	mRNA
100	0.863219774505569	0.00963348574810701	5	Data	mRNA
101	0.864882069041885	0.00965206433410113	5	Data	mRNA
102	0.863121992474021	0.00964424177157729	5	Data	mRNA
103	0.866251017483557	0.00959730639643426	5	Data	mRNA
104	0.867033273735941	0.00962859664652961	5	Data	mRNA
105	0.865175415136529	0.00928342607516524	5	Data	mRNA
106	0.867033273735941	0.00924333544223057	5	Data	mRNA
107	0.863415338568665	0.00924920236412345	5	Data	mRNA
108	0.864490940915693	0.00920031134834946	5	Data	mRNA
109	0.869282260461544	0.00926484748917113	5	Data	mRNA
110	0.86752218389368	0.00924529108286153	5	Data	mRNA
111	0.866544363578201	0.00924724672349249	5	Data	mRNA
112	0.869380042493092	0.00929320427832004	5	Data	mRNA
113	0.870846772966312	0.00971660047492279	5	Data	mRNA
114	0.870846772966312	0.00979775956110762	5	Data	mRNA
115	0.873878015944299	0.00991509799896519	5	Data	mRNA
116	0.86996673468238	0.00973322342028595	5	Data	mRNA
117	0.869086696398448	0.00977233623290514	5	Data	mRNA
118	0.868402222177612	0.00991509799896519	5	Data	mRNA
119	0.866935491704393	0.00993465440527479	5	Data	mRNA
120	0.864002030757953	0.00991509799896519	5	Data	mRNA
121	0.864979851073433	0.00980753776426242	5	Data	mRNA
122	0.862437518253185	0.00977624751416706	5	Data	mRNA
123	0.866739927641297	0.00978798135795282	5	Data	mRNA
124	0.867131055767489	0.0100519928431324	5	Data	mRNA
125	0.869673388587736	0.0101106620620612	5	Data	mRNA
126	0.870260080777024	0.0102475569062283	5	Data	mRNA
127	0.869380042493092	0.0101106620620612	5	Data	mRNA
128	0.871237901092504	0.0101106620620612	5	Data	mRNA
129	0.866544363578201	0.00962370754495221	5	Data	mRNA
130	0.871629029218696	0.00971660047492279	5	Data	mRNA
131	0.870846772966312	0.00978798135795282	5	Data	mRNA
132	0.873584669849655	0.00997376721789398	5	Data	mRNA
133	0.87094455499786	0.0098955415926556	5	Data	mRNA
134	0.871140119060956	0.00995421081158439	5	Data	mRNA
135	0.87192237531334	0.00997376721789398	5	Data	mRNA
136	0.872802413597271	0.0101106620620612	5	Data	mRNA
137	0.875246964385971	0.0101888876872995	5	Data	mRNA
138	0.878571553458602	0.0101595530778351	5	Data	mRNA
139	0.88111388627885	0.0101302184683708	5	Data	mRNA
140	0.877007040953835	0.0100813274525968	5	Data	mRNA
141	0.879744937837178	0.0102377787030735	5	Data	mRNA
142	0.88209170659433	0.0102768915156927	5	Data	mRNA
143	0.877887079237766	0.0100128800305132	5	Data	mRNA
144	0.881407232373494	0.0101497748746803	5	Data	mRNA
145	0.886296333950893	0.0104626773756339	5	Data	mRNA
146	0.887274154266372	0.0107560234702778	5	Data	mRNA
147	0.881798360499686	0.0102964479220023	5	Data	mRNA
148	0.883656219099097	0.0103160043283119	5	Data	mRNA
149	0.883069526909809	0.0103648953440859	5	Data	mRNA
150	0.881016104247302	0.0102964479220023	5	Data	mRNA
151	0.883460655036001	0.0104822337819435	5	Data	mRNA
152	0.882385052688973	0.0104920119850983	5	Data	mRNA
153	0.880527194089562	0.0103551171409311	5	Data	mRNA
154	0.882189488625878	0.0105115683914079	5	Data	mRNA
155	0.882971744878261	0.0104920119850983	5	Data	mRNA
156	0.884340693319933	0.0105702376103367	5	Data	mRNA
157	0.890696525370552	0.0107364670639682	5	Data	mRNA
158	0.89030539724436	0.0106875760481942	5	Data	mRNA
159	0.891380999591388	0.0108049144860518	5	Data	mRNA
160	0.889914269118168	0.0107560234702778	5	Data	mRNA
161	0.894412242569375	0.0108635837049806	5	Data	mRNA
162	0.893825550380087	0.0103355607346215	5	Data	mRNA
163	0.889229794897332	0.0100617710462872	5	Data	mRNA
164	0.890403179275908	0.00992487620211999	5	Data	mRNA
165	0.888056410518756	0.00972833431870855	5	Data	mRNA
166	0.891478781622936	0.00980753776426242	5	Data	mRNA
167	0.889620923023524	0.00977233623290514	5	Data	mRNA
168	0.892261037875319	0.00979775956110762	5	Data	mRNA
169	0.898225741799746	0.00985642878003641	5	Data	mRNA
170	0.89803017773665	0.0098955415926556	5	Data	mRNA
171	0.898714651957486	0.0100422146399776	5	Data	mRNA
172	0.898910216020582	0.00994443260842959	5	Data	mRNA
173	0.902137023061665	0.0100128800305132	5	Data	mRNA
174	0.904777137913461	0.00997376721789398	5	Data	mRNA
175	0.905657176197393	0.00996398901473918	5	Data	mRNA
176	0.902625933219405	0.00996398901473918	5	Data	mRNA
177	0.904581573850365	0.00999332362420358	5	Data	mRNA
178	0.912599700437299	0.0102084440936091	5	Data	mRNA
179	0.908883983238476	0.0101106620620612	5	Data	mRNA
180	0.91162188012182	0.0101008838589064	5	Data	mRNA
