"Year"	"Author"	"Dataset"	"Position"	"X5prime"	"Reads"	"SD"	"Type"	"DataType"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	499	0	0.9895	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	498	0	0.9918	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	497	0	0.9935	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	496	0	0.9927	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	495	0	0.9941	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	494	0	0.9948	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	493	0	0.9923	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	492	0	0.9938	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	491	0	0.9976	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	490	0	0.996	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	489	0	0.9975	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	488	0	0.9991	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	487	0	0.9981	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	486	0	0.9987	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	485	0	1.0004	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	484	0	0.9985	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	483	0	1.0004	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	482	0	1.001	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	481	0	0.9976	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	480	0	0.9999	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	479	0	1.0022	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	478	0	0.9997	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	477	0	1.0015	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	476	0	1.0033	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	475	0	1.0003	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	474	0	1.0015	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	473	0	1.0022	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	472	0	0.9993	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	471	0	1.0008	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	470	0	1.0027	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	469	0	0.9992	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	468	0	1.0014	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	467	0	1.0027	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	466	0	1.0012	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	465	0	1.0022	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	464	0	1.0031	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	463	0	1.0015	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	462	0	1.003	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	461	0	1.0043	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	460	0	1.0033	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	459	0	1.0051	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	458	0	1.006	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	457	0	1.0038	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	456	0	1.0043	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	455	0	1.0043	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	454	0	1.0007	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	453	0	1.002	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	452	0	1.0022	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	451	0	1.0006	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	450	0	1.0027	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	449	0	1.0056	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	448	0	1.0031	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	447	0	1.0047	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	446	0	1.0061	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	445	0	1.0049	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	444	0	1.0076	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	443	0	1.0088	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	442	0	1.0065	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	441	0	1.0097	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	440	0	1.0132	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	439	0	1.0111	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	438	0	1.0127	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	437	0	1.0146	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	436	0	1.013	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	435	0	1.0139	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	434	0	1.0166	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	433	0	1.0145	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	432	0	1.0159	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	431	0	1.0174	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	430	0	1.0143	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	429	0	1.0155	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	428	0	1.0176	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	427	0	1.0155	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	426	0	1.0165	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	425	0	1.0176	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	424	0	1.0147	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	423	0	1.0172	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	422	0	1.0185	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	421	0	1.0164	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	420	0	1.0184	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	419	0	1.0189	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	418	0	1.0173	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	417	0	1.0192	0	100	"mRNA"
"2012"	"Brar"	"mRNA_for_gb15_meiotic_rep_1"	416	0	1.0208	0	100	"mRNA"
