Position	Mean	SD	End	BG	DataType
1	1.09432629930463	0.0493462787484846	5	Data	mRNA
2	1.04885031692857	0.0491914668935874	5	Data	mRNA
3	1.01982309413535	0.0484367591009635	5	Data	mRNA
4	1.0140176495767	0.0483980561372392	5	Data	mRNA
5	0.997568889993874	0.0457856060858488	5	Data	mRNA
6	0.993698593621444	0.0456307942309516	5	Data	mRNA
7	0.992731019528337	0.0456211184900205	5	Data	mRNA
8	0.980152556317938	0.0450018710704317	5	Data	mRNA
9	0.956156718808872	0.0424474754646278	5	Data	mRNA
10	0.918808358814921	0.029385225207676	5	Data	mRNA
11	0.900521208455188	0.0284757055601549	5	Data	mRNA
12	0.901488782548295	0.0285240842648103	5	Data	mRNA
13	0.892490343482395	0.027720997767531	5	Data	mRNA
14	0.872268044936448	0.0226509095196475	5	Data	mRNA
15	0.860076611363293	0.0219252289498169	5	Data	mRNA
16	0.847304633334273	0.0190515338932875	5	Data	mRNA
17	0.843724609189775	0.0190515338932875	5	Data	mRNA
18	0.840144585045277	0.0187225587016309	5	Data	mRNA
19	0.835500229398361	0.0187128829606998	5	Data	mRNA
20	0.841499188775628	0.0190418581523564	5	Data	mRNA
21	0.829694784839716	0.0171454129298656	5	Data	mRNA
22	0.831146145979377	0.0171744401526588	5	Data	mRNA
23	0.828533695927987	0.0170583312614859	5	Data	mRNA
24	0.829114240383852	0.0170970342252102	5	Data	mRNA
25	0.8340488682587	0.0172905490438317	5	Data	mRNA
26	0.831823447844553	0.0174356851577979	5	Data	mRNA
27	0.831049388570066	0.0174937396033843	5	Data	mRNA
28	0.836274288672847	0.0175711455308329	5	Data	mRNA
29	0.822341221732099	0.0175130910852465	5	Data	mRNA
30	0.832403992300417	0.0175614697899019	5	Data	mRNA
31	0.832210477481796	0.0176775786810748	5	Data	mRNA
32	0.825437458830043	0.0170776827433481	5	Data	mRNA
33	0.83143641820731	0.0176195242354883	5	Data	mRNA
34	0.833468323802835	0.01745503663966	5	Data	mRNA
35	0.829017482974541	0.0174840638624533	5	Data	mRNA
36	0.825534216239354	0.0174743881215222	5	Data	mRNA
37	0.831823447844553	0.0174937396033843	5	Data	mRNA
38	0.824082855099692	0.0170389797796238	5	Data	mRNA
39	0.82640503292315	0.0170873584842792	5	Data	mRNA
40	0.823599068053138	0.0169809253340373	5	Data	mRNA
41	0.836080773854226	0.0214220904214009	5	Data	mRNA
42	0.831146145979377	0.0213930631986077	5	Data	mRNA
43	0.834532655305254	0.0214511176441942	5	Data	mRNA
44	0.82253473655072	0.0207544642971567	5	Data	mRNA
45	0.820696345773816	0.0207254370743635	5	Data	mRNA
46	0.825437458830043	0.0208705731883296	5	Data	mRNA
47	0.827372607016258	0.0208705731883296	5	Data	mRNA
48	0.820309316136573	0.0202319742868787	5	Data	mRNA
49	0.825437458830043	0.0204545163282934	5	Data	mRNA
50	0.824373127327624	0.0205028950329488	5	Data	mRNA
51	0.826501790332461	0.0203674346599137	5	Data	mRNA
52	0.837048347947333	0.0205706252194663	5	Data	mRNA
53	0.828243423700055	0.0203771104008448	5	Data	mRNA
54	0.821373647638991	0.0204158133645691	5	Data	mRNA
55	0.820889860592437	0.0202610015096719	5	Data	mRNA
56	0.818083895722426	0.0201932713231544	5	Data	mRNA
57	0.818567682768979	0.0201835955822233	5	Data	mRNA
58	0.823115281006585	0.0200674866910504	5	Data	mRNA
59	0.825243944011421	0.0201932713231544	5	Data	mRNA
60	0.827759636653501	0.0203771104008448	5	Data	mRNA
61	0.828146666290744	0.0203190559552584	5	Data	mRNA
62	0.826985577379015	0.0203287316961894	5	Data	mRNA
63	0.824469884736935	0.0202319742868787	5	Data	mRNA
64	0.828436938518676	0.0202610015096719	5	Data	mRNA
65	0.832403992300417	0.020270677250603	5	Data	mRNA
66	0.842370005459425	0.0208125187427432	5	Data	mRNA
67	0.840918644319763	0.0207738157790189	5	Data	mRNA
68	0.861237700275022	0.0231346965662013	5	Data	mRNA
69	0.844401911054951	0.0197094842766006	5	Data	mRNA
70	0.85456143903258	0.0198062416859114	5	Data	mRNA
71	0.855335498307066	0.0197772144631181	5	Data	mRNA
72	0.856496587218795	0.01988364761336	5	Data	mRNA
73	0.858915522451564	0.0198255931677735	5	Data	mRNA
74	0.859592824316739	0.0195546724217034	5	Data	mRNA
75	0.862979333642615	0.0196514298310141	5	Data	mRNA
76	0.858915522451564	0.0194095363077373	5	Data	mRNA
77	0.852239261209122	0.0192353729709779	5	Data	mRNA
78	0.854851711260512	0.0191966700072536	5	Data	mRNA
79	0.861915002140197	0.0197772144631181	5	Data	mRNA
80	0.860850670637779	0.0197385114993938	5	Data	mRNA
81	0.86481772441952	0.0195836996444966	5	Data	mRNA
82	0.872461559755069	0.0195933753854277	5	Data	mRNA
83	0.877202672811296	0.0196224026082209	5	Data	mRNA
84	0.882717845142009	0.0203480831780516	5	Data	mRNA
85	0.875364282034392	0.0201932713231544	5	Data	mRNA
86	0.867913961517464	0.0192256972300468	5	Data	mRNA
87	0.861431215093643	0.019119264079805	5	Data	mRNA
88	0.873332376438866	0.0210931152297444	5	Data	mRNA
89	0.874396707941284	0.0225541521103368	5	Data	mRNA
90	0.875364282034392	0.0227186397061651	5	Data	mRNA
91	0.868204233745396	0.0211511696753308	5	Data	mRNA
92	0.865591783694006	0.0212092241209173	5	Data	mRNA
93	0.871590743071272	0.0213737117167456	5	Data	mRNA
94	0.867236659652289	0.021296305789297	5	Data	mRNA
95	0.867720446698842	0.0210350607841579	5	Data	mRNA
